SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Yahoo Ticker,Sector,Industry
CHOICEIN,Choice International Limited,EQ,08-Apr-22,10,1,INE102B01014,10,CHOICEIN.NS,Financial Services,Capital Markets
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-May-96,2,1,INE121A01024,2,CHOLAFIN.NS,Financial Services,Credit Services
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-Sep-17,1,1,INE149A01033,1,CHOLAHLDNG.NS,Financial Services,Credit Services
CIEINDIA,CIE Automotive India Limited,EQ,30-Aug-07,10,1,INE536H01010,10,CIEINDIA.NS,Consumer Cyclical,Auto Parts
CIFL,Capital India Finance Limited,EQ,17-Apr-25,2,1,INE345H01024,2,CIFL.NS,Financial Services,Credit Services
CINELINE,Cineline India Limited,EQ,13-Jun-12,5,1,INE704H01022,5,CINELINE.NS,Communication Services,Entertainment
CINEVISTA,Cinevista Limited,EQ,02-May-00,2,1,INE039B01026,2,CINEVISTA.NS,Communication Services,Entertainment
CIPLA,Cipla Limited,EQ,08-Feb-95,2,1,INE059A01026,2,CIPLA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
CLEAN,Clean Science and Technology Limited,EQ,19-Jul-21,1,1,INE227W01023,1,CLEAN.NS,Basic Materials,Specialty Chemicals
CLEANMAX,Clean Max Enviro Energy Solutions Limited,EQ,02-Mar-26,1,1,INE647U01026,1,CLEANMAX.NS,Utilities,Utilities - Renewable
CLEDUCATE,CL Educate Limited,BE,31-Mar-17,5,1,INE201M01029,5,CLEDUCATE.NS,Consumer Defensive,Education & Training Services
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-May-21,2,1,INE419D01026,2,CLSEL.NS,Consumer Defensive,Packaged Foods
CMPDI,Central Mine Planning & Design Institute Limited,EQ,30-Mar-26,2,1,INE05HV01027,2,CMPDI.NS,Basic Materials,Other Industrial Metals & Mining
CMSINFO,CMS Info Systems Limited,EQ,31-Dec-21,10,1,INE925R01014,10,CMSINFO.NS,Industrials,Specialty Business Services
CNL,Creative Newtech Limited,EQ,05-Aug-19,10,1,INE985W01018,10,CNL.NS,Technology,Electronics & Computer Distribution
COALINDIA,Coal India Limited,EQ,04-Nov-10,10,1,INE522F01014,10,COALINDIA.NS,Energy,Thermal Coal
COASTCORP,Coastal Corporation Limited,EQ,08-Oct-21,2,1,INE377E01024,2,COASTCORP.NS,Consumer Defensive,Packaged Foods
COCHINSHIP,Cochin Shipyard Limited,EQ,11-Aug-17,5,1,INE704P01025,5,COCHINSHIP.NS,Industrials,Aerospace & Defense
COCKERILL,John Cockerill India Limited,EQ,20-Apr-26,10,1,INE515A01019,10,COCKERILL.NS,Industrials,Metal Fabrication
COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-Nov-15,10,1,INE335K01011,10,COFFEEDAY.NS,Consumer Cyclical,Restaurants
COFORGE,Coforge Limited,EQ,30-Aug-04,2,1,INE591G01025,2,COFORGE.NS,Technology,Information Technology Services
COHANCE,Cohance Lifesciences Limited,EQ,09-Mar-20,1,1,INE03QK01018,1,COHANCE.NS,Healthcare,Drug Manufacturers - Specialty & Generic
COLPAL,Colgate Palmolive (India) Limited,EQ,17-Dec-07,1,1,INE259A01022,1,COLPAL.NS,Consumer Defensive,Household & Personal Products
COMFINTE,Comfort Intech Limited,EQ,20-Apr-26,1,1,INE819A01049,1,COMFINTE.NS,,
COMPINFO,Compuage Infocom Limited,BZ,07-Jul-16,2,1,INE070C01037,2,COMPINFO.NS,Technology,Electronics & Computer Distribution
COMPUSOFT,Compucom Software Limited,EQ,02-Mar-12,2,1,INE453B01029,2,COMPUSOFT.NS,Consumer Defensive,Education & Training Services
COMSYN,Commercial Syn Bags Limited,EQ,23-Jan-24,10,1,INE073V01015,10,COMSYN.NS,Consumer Cyclical,Packaging & Containers
CONCOR,Container Corporation of India Limited,EQ,07-May-97,5,1,INE111A01025,5,CONCOR.NS,Industrials,Railroads
CONCORDBIO,Concord Biotech Limited,EQ,18-Aug-23,1,1,INE338H01029,1,CONCORDBIO.NS,Healthcare,Biotechnology
CONFIPET,Confidence Petroleum India Limited,EQ,13-Jun-19,1,1,INE552D01024,1,CONFIPET.NS,Energy,Oil & Gas Refining & Marketing
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-Mar-05,10,1,INE025A01027,10,CONSOFINVT.NS,Financial Services,Capital Markets
CONTROLPR,Control Print Limited,EQ,24-Jun-16,10,1,INE663B01015,10,CONTROLPR.NS,Industrials,Business Equipment & Supplies
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-Mar-96,2,1,INE558D01021,2,CORALFINAC.NS,Real Estate,Real Estate Services
CORDSCABLE,Cords Cable Industries Limited,EQ,13-Feb-08,10,1,INE792I01017,10,CORDSCABLE.NS,Industrials,Electrical Equipment & Parts
COROMANDEL,Coromandel International Limited,EQ,31-May-95,1,1,INE169A01031,1,COROMANDEL.NS,Basic Materials,Agricultural Inputs
CORONA,CORONA Remedies Limited,EQ,15-Dec-25,10,1,INE02ZQ01018,10,CORONA.NS,Healthcare,Drug Manufacturers - General
COSMOFIRST,COSMO FIRST LIMITED,EQ,25-May-95,10,1,INE757A01017,10,COSMOFIRST.NS,Consumer Cyclical,Packaging & Containers
COUNCODOS,Country Condo's Limited,EQ,22-Jan-09,1,1,INE695B01025,1,COUNCODOS.NS,Real Estate,Real Estate - Development
CPCAP,CP Capital Limited,BE,06-Oct-10,10,1,INE521J01018,10,CPCAP.NS,Financial Services,Credit Services
CPEDU,Career Point Edutech Limited,EQ,05-Sep-25,10,1,INE0P6P01016,10,CPEDU.NS,Consumer Defensive,Education & Training Services
CPPLUS,Aditya Infotech Limited,EQ,05-Aug-25,1,1,INE819V01029,1,CPPLUS.NS,Industrials,Building Products & Equipment
CRAFTSMAN,Craftsman Automation Limited,EQ,25-Mar-21,5,1,INE00LO01017,5,CRAFTSMAN.NS,Consumer Cyclical,Auto Parts
